"Daily Weather Observations for Bellambi, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2014.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,16.3,25.5,0,,,SSW,57,16:57,22.7,47,,NW,35,,20.5,48,,NW,33,
,2021-08-2,9.6,19.1,0,,,N,31,19:32,16.6,63,, ,Calm,,18.0,59,,NE,28,
,2021-08-3,14.4,20.4,1.0,,,NW,56,14:07,17.4,69,,NW,20,,19.5,34,,WSW,20,
,2021-08-4,11.8,17.0,0,,,WNW,76,08:47,12.9,46,,WNW,43,,16.5,38,,W,31,
,2021-08-5,12.9,20.8,0,,,W,46,01:20,16.4,49,,WSW,24,,20.2,40,,W,20,
,2021-08-6,13.0,21.6,0,,,WSW,44,01:57,16.4,48,,W,19,,19.5,56,,ENE,20,
,2021-08-7,11.0,20.5,0,,,WSW,28,19:09,15.2,51,,W,9,,17.8,59,,E,15,
,2021-08-8,12.3,17.1,2.4,,,SE,39,11:57,13.0,91,,SW,19,,16.5,51,,SSE,17,
,2021-08-9,11.8,19.5,0.2,,,WNW,50,04:42,15.2,69,,NW,13,,18.8,62,,NE,26,
,2021-08-10,13.3,23.3,0,,,NW,41,13:00,19.0,59,,NNW,19,,22.7,38,,N,24,
,2021-08-11,15.4,25.8,0,,,N,50,21:04,19.6,49,,NE,13,,24.7,37,,NNW,26,
,2021-08-12,14.9,21.1,0,,,W,54,01:53,17.1,42,,WNW,19,,19.1,44,,SE,13,
,2021-08-13,11.4,20.3,0,,,WNW,37,04:30,15.1,47,,WNW,19,,17.9,50,,ESE,9,
,2021-08-14,9.6,19.4,0,,,N,19,17:01,17.1,54,,SSW,6,,19.0,63,,N,9,
,2021-08-15,12.9,22.6,0,,,W,35,10:58,17.7,33,,WNW,7,,22.1,21,,W,15,
,2021-08-16,14.4,23.2,0,,,W,69,19:02,18.1,32,,W,22,,22.4,26,,WSW,17,
,2021-08-17,12.3,18.5,0,,,WSW,48,00:39,15.9,40,,WSW,15,,17.2,41,,ESE,13,
,2021-08-18,10.8,18.5,0,,,NE,24,16:04,16.3,59,,SSW,11,,18.0,56,,NE,13,
,2021-08-19,12.6,20.6,0,,,NW,33,02:37,18.1,52,,NW,7,,19.5,66,,NE,30,
,2021-08-20,12.1,23.9,0,,,NW,33,14:31,18.4,63,, ,Calm,,22.8,35,,NNW,17,
,2021-08-21,15.8,25.6,0,,,NE,39,12:15,19.3,40,,W,6,,25.1,32,,NW,7,
,2021-08-22,15.6,23.7,0,,,NNW,50,23:12,21.3,46,,N,17,,21.0,71,,NE,28,
,2021-08-23,19.6,27.1,0,,,NNW,76,14:15,21.6,50,,NNW,35,,24.5,42,,NNW,54,
,2021-08-24,10.9,14.4,27.0,,,SW,91,18:48,11.1,89,,SW,31,,13.7,81,,SW,48,
,2021-08-25,9.6,18.1,34.4,,,SW,72,04:25,12.5,62,,SW,33,,17.0,48,,WSW,26,
,2021-08-26,10.6,18.5,0,,,SSW,39,09:24,15.8,49,,SSW,22,,17.2,63,,SSE,26,
,2021-08-27,12.6,18.8,0,,,W,33,18:59,16.2,61,,N,4,,17.1,68,,SSE,15,
,2021-08-28,13.3,19.1,0,,,WSW,39,00:52,15.8,63,,SW,19,,17.6,63,,S,20,
,2021-08-29,10.9,18.4,0,,,E,37,11:05,15.9,70,,NNW,9,,17.3,55,,WNW,9,
,2021-08-30,12.1,18.9,0,,,W,35,02:26,17.4,46,,SW,6,,18.5,50,,NE,11,
,2021-08-31,12.0,,0,,,NE,31,14:48,18.6,50,,NW,13,,20.1,62,,ENE,30,
